MCD CURTAIN;D2527422705400-T;;;;;;;;;;;;;;;
MLB;MLB-LATAM-00;;;;;;;;;;;;;;;
MLG WHEEL;C20195162;;;;;;;;;;;;;;;
MMR;822-1152-122;;;;;;;;;;;;;;;
MRT;995000;;;;;;;;;;;;;;;
NLG WHEEL;3-1531-3;;;;;;;;;;;;;;;
NUT OF PTT SW;MS35649-242;;;;;;;;;;;;;;;
NUT WHEELS;Correr;;;;;;;;;;;;;;;
NWS HANDWHEEL;322200-07 M00;;;;;;;;;;;;;;;
NWS PIN ;D23156000;;;;;;;;;;;;;;;
OUTLET LAVATORY;F1000440-00;;;;;;;;;;;;;;;
OVHD BIN LATCH;FA259-50630-002JA;;;;;;;;;;;;;;;
OXYGEN CREW CYLINDER;891511-14;;;;;;;;;;;;;;;
OXYGEN MASK;28301-02;;;;;;;;;;;;;;;
PANEL WARNING LIGHT SLIDE DOOR ;2LA005469-00;;;;;;;;;;;;;;;
PASSENGER SEAT BELT;2011-1-531-242B;;;;;;;;;;;;;;;
PCMCIA;PCM-AFS-MG02;;;;;;;;;;;;;;;
PILAS AA;4008812;;;;;;;;;;;;;;;
PILAS AAA;EN92;;;;;;;;;;;;;;;
PILAS GRANDES;99019915;;;;;;;;;;;;;;;
PIN HANDLE NLG DOOR;MS17990-407;;;;;;;;;;;;;;;
PIN SOCKET FEMALE BRAKE FAN CONNECTOR;EN3155-019F2018;;;;;;;;;;;;;;;
PINS FOR PTT HAND GRIP CONNECTOR;EN3155-008M222;;;;;;;;;;;;;;;
PINS MALE PRIORITY PBSW;EN3155-008M2222;;;;;;;;;;;;;;;
PINS RACK;M39029/63-368;;;;;;;;;;;;;;;
PLUG BRAKE BLEED PORT;7612;;;;;;;;;;;;;;;
PLUG PTT;D2731012020000;;;;;;;;;;;;;;;
POTENTIOMETER  LOUDSPEAKER COCKPIT;D0003000001400;;;;;;;;;;;;;;;
POTENTIOMETER A320 MAP LT;9ML404481-10;;;;;;;;;;;;;;;
POUCH LIFE VEST;1003095-001;;;;;;;;;;;;;;;
PRINTER PAPER;M8050917-0006;;;;;;;;;;;;;;;
PSU SOCKET;A3-929-0009-003;;;;;;;;;;;;;;;
PUNTAS PHILLIPS ;440-2;;;;;;;;;;;;;;;
RECEPTACLE;ABS0368-01;;;;;;;;;;;;;;;
RIVET AFT FIXED FAIRING A319;MS20470AD5-6;;;;;;;;;;;;;;;
ROLLER BLIND  SCREW;NAS1102-08-10;;;;;;;;;;;;;;;
ROLLER BLIND AFT RH/LH;170-12180-990;;;;;;;;;;;;;;;
ROLLER BLIND FWD LH;170-12155-990;;;;;;;;;;;;;;;
ROLLER BLIND FWD RH;170-12156-990;;;;;;;;;;;;;;;
RPO;827RPO111-R01;;;;;;;;;;;;;;;
RUNWAY LIGHT;4626;;;;;;;;;;;;;;;
RUNWAY LT GASKET;4383322;;;;;;;;;;;;;;;
SCRAPER;JNT21102;;;;;;;;;;;;;;;
SCREW BISEL ALFOMBRA;NAS1102E08-7;;;;;;;;;;;;;;;
SCREW COVER SWITCH UPLOCK;MS51957-27;;;;;;;;;;;;;;;
SCREW FRAME DIVIDER CLASS;NAS1096-2-16;;;;;;;;;;;;;;;
SCREW GLAZING  WINGTIP;NAS1581F4R5;;;;;;;;;;;;;;;
SCREW HINGE FITTING C DUCT V2500;NAS1102E3-10;;;;;;;;;;;;;;;
SCREW LOGO LIGHT;NAS1102E08-10;;;;;;;;;;;;;;;
SCREW NLG CAP;NAS6603-1;;;;;;;;;;;;;;;
SCREW SCUCHETON;MS24694-S48;;;;;;;;;;;;;;;
SCREW WATER HEATER A319;NAS1096-2-10;;;;;;;;;;;;;;;
SCREWS OF ACCES DOOR STRIKES;NAS1102-04-6;;;;;;;;;;;;;;;
SCREWS TAPA UPLOCK SENSORS;MS51957-27;;;;;;;;;;;;;;;
SEAL BOX PBE;E28301-00;;;;;;;;;;;;;;;
SEAL CONICAL OXYGEN BOTTLE;NSA835070-5C;;;;;;;;;;;;;;;
SEAL FLASHLIGHT;A1-18-1030;;;;;;;;;;;;;;;
SEAL LENS BEACON ;9GD402431-10;;;;;;;;;;;;;;;
SEALING LOGO LIGHT ;9GD400759-00;;;;;;;;;;;;;;;
SEALING LOGO LIGHT COVER;9GD404318-01;;;;;;;;;;;;;;;
SEAT BELT EXTENDER;1028-1-021-8158;;;;;;;;;;;;;;;
SELF ADHESIVE TAPE CABLE;RL6000SA;;;;;;;;;;;;;;;
SELLO BODEGA CUADRADO PEQ;ABS0398A01;;;;;;;;;;;;;;;
SELLO BODEGA GRUESO MANGUERA;ABS0305LC;;;;;;;;;;;;;;;
SELLO CUADRADO CARGO;ABS0399A;;;;;;;;;;;;;;;
SELLO VERDE STAT KIT 700;PPMA020F1598C;;;;;;;;;;;;;;;
SERVICEABILITY SEAL PBE;E28246;;;;;;;;;;;;;;;
SILICONA RED;RTV-106;;;;;;;;;;;;;;;
SLEEVE;E0718-02;;;;;;;;;;;;;;;
SLEEVE AWG24;E0718-02;;;;;;;;;;;;;;;
SOCKET ARINC 600;E0171LA2200;;;;;;;;;;;;;;;
SOCKET ARINC 600 EN STOCK;EN3155-003F2222;;;;;;;;;;;;;;;
SOCKET RACK;M39029/12-148;;;;;;;;;;;;;;;
SPLICE;NSA936830-20;;;;;;;;;;;;;;;
SPLICE PTT SW;TSE-20-01;;;;;;;;;;;;;;;
SPLICE PTT SW ;NSA936830-22;;;;;;;;;;;;;;;
SPLICE PTT SW ALTERNATIVE PROCEDURE;NSA937910EA2200;;;;;;;;;;;;;;;
SPRAY GUN;PREVAL267;;;;;;;;;;;;;;;
STRAP SECURITY PARA TRAY TABLE;A0151-00-000;;;;;;;;;;;;;;;
STREAMER PIN REMOVE  BEFORE FLIGHT;NAS1756-24;;;;;;;;;;;;;;;
STUD;ABS0691-020;;;;;;;;;;;;;;;
STUD CEILING PANEL CARGO;ABS0336-09;;;;;;;;;;;;;;;
STUD SIDEWALL PANEL CARGO;ABS 0336-08;;;;;;;;;;;;;;;
SUN VISOR BLACK;160-10732-990;;;;;;;;;;;;;;;
TABLE JUMPSEAT;100792-1-72H108;;;;;;;;;;;;;;;
TAKE OFF LIGHT;Q4559;;;;;;;;;;;;;;;
TAKE OFF LIGHT GASKET;4085109;;;;;;;;;;;;;;;
TAP TEST TOOL ;99A55209001000;;;;;;;;;;;;;;;
TAPE WRAP CABLE(LACING TAPE);NSA8420-7;;;;;;;;;;;;;;;
TAXI LIGHT;Q4554;;;;;;;;;;;;;;;
TAXI LIGHT GASKET;4383352-F0280;;;;;;;;;;;;;;;
TERMINAL TAXI LT;bridas;;;;;;;;;;;;;;;
TERMINALES;322338 M7928/1-14;;;;;;;;;;;;;;;
TERMINALES DE OJO;BACT12AC8;;;;;;;;;;;;;;;
TERMINALES PLANAS;ABS0374A24;;;;;;;;;;;;;;;
TERMINALS LOGO LT;8KW400668- 00;;;;;;;;;;;;;;;
TERMO FIT RED;M23053/5-104/304-2;;;;;;;;;;;;;;;
TERMOFIT;FIT221-1/4 BLAck;;;;;;;;;;;;;;;
TERMOFIT RED 1/8;FIT221-1/8;;;;;;;;;;;;;;;
TOILET SWITCH ASSY;A3-929-0001-01;;;;;;;;;;;;;;;
TORQUE SEAL;DYKEM-CR0SS-CHECK-RED-1-0Z;;;;;;;;;;;;;;;
TREADLOCKING;LOCTITE-222;;;;;;;;;;;;;;;
TUBING BTMU ;ABS0836B06;;;;;;;;;;;;;;;
TYVEK AMARILLO;3931623;;;;;;;;;;;;;;;
WASHER CAP NLG WHEEL;AN960C10;;;;;;;;;;;;;;;
WASHER CEILING PANEL CARGO;ABS0208-02;;;;;;;;;;;;;;;
WASHER FAIRING;ABS0604-4;;;;;;;;;;;;;;;
WASHER NUT HUB MLG;AN960-416L;;;;;;;;;;;;;;;
WASHER PTT SW;AN960-416L;;;;;;;;;;;;;;;
WASHER SCREW CAP NLG;ASNA2397C10L;;;;;;;;;;;;;;;
WASHER STUD;ABS0338-01;;;;;;;;;;;;;;;
WASHER WHEEL MLG TAB;4611375003;;;;;;;;;;;;;;;
WING SCAN ASSY;8000959Y00;;;;;;;;;;;;;;;
WIRE FOR PTT;E0260BF24;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
